name,sku,price,category,stock,material_options,size_options,description,image_main,image_gallery
Choker Casco de Tartaruga,q8NBg16KtQeAMUcN,650,Joias,Em estoque,PRATA925|PRATA925COMBANHODEOURO,,"Uma representação expressiva das texturas do casco da tartaruga marinha na forma retangular, trazendo um charme único para essa peça. Essa peça também tem um par de brincos que faz conjunto com ela e ficam simplesmente perfeitos juntos. Uma parte da vida marinha em forma de arte para você vestir. Prata 925 ou Prata 925 com banho de ouro. Ofereço uma garantia de 6 meses para as joias.",https://giovanadiasjewelry.com.br/sc-bridge/images/285290/img_68dac86a563f4.png,
Brinco Casco de Tartaruga,NaqwNwzQLbtV8QMt,480,Joias,Em estoque,PRATA925|PRATA925COMBANHODEOURO,,"Uma representação expressiva das texturas do casco da tartaruga marinha na forma retangular, trazendo um charme único para essa peça. Essa peça também tem uma choker perfeita que faz conjunto com os brincos. Uma parte da vida marinha em forma de arte para você vestir. Prata 925 ou prata 925 com banho de ouro. Garantia de 6 meses.",https://giovanadiasjewelry.com.br/sc-bridge/images/285292/img_68dacb015f62f.png,https://giovanadiasjewelry.com.br/sc-bridge/images/285291/img_68dac96126dd0.png
Anel Ariel,LAULf5SS8x4AZOc3,680,Joias,Em estoque,PRATA950|BANHADOAURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,Uma joia extremamente charmosa em prata maciça que carrega a força e o brilho do mar com a exuberância da pérola carregando os segredos do oceano. Uma parte do fundo do mar sempre com você. Prata 925 disponível em todos os tamanhos.,https://giovanadiasjewelry.com.br/sc-bridge/images/285296/img_68dad786c8b64.png,
Anel Guardião do Mar,2DjzLOE2Rz0bXN7j,480,Joias,Em estoque,PRATA950|BANHADOAURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,Essa joia é a ressignificação de um coral vivo abraçando uma Opala mexicana. Pedra vibrante considerada sagrada por civilizações antigas. Disponível em todos os tamanhos. Prata 925. Edição limitada.,https://giovanadiasjewelry.com.br/sc-bridge/images/285419/img_68dec6b178274.png,https://giovanadiasjewelry.com.br/sc-bridge/images/285420/img_68dec6b17a659.png|https://giovanadiasjewelry.com.br/sc-bridge/images/285421/img_68dec6b17bf43.png
Anel Memória do Mar,QMYNNDR2s2WXYMvN,380,Joias,Em estoque,PRATA950|BANHADOAURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,Uma representação abstrata da bolacha do mar transformada em joia. Peça da coleção Memória do Mar marcada por texturas orgânicas. Prata 925 ou Prata 925 com banho de ouro. Garantia de 6 meses.,https://giovanadiasjewelry.com.br/sc-bridge/images/285302/img_68dadf4061637.png,https://giovanadiasjewelry.com.br/sc-bridge/images/285303/img_68dae03803843.png|https://giovanadiasjewelry.com.br/sc-bridge/images/285301/img_68dadd567a09f.png
